month,qqq_sc,ivv_sc,iau_sc,p1_mode,p2_mode,gold_mode,eff_equity,gold_exp,cash_exp,monthly_ret,cum_ret,drawdown
2011-09-01,1,0,3,cash,cash,iau,0.0,0.1,0.9,-0.012082535600087763,3.032015123772526,-0.12413017184143528
2011-10-03,0,0,3,cash,cash,iau,0.0,0.1,0.9,0.005791495402791558,3.0005123446465007,-0.13323050037320647
2011-11-01,3,2,3,qld,ivv_partial,iau,1.215,0.1,-0.31500000000000006,-0.032647200579069335,2.915260224295203,-0.15785760708411833
2011-12-01,3,1,3,qqq,cash,iau,0.45,0.1,0.45000000000000007,-0.013646698464005791,2.921762595111268,-0.1559792423079545
2012-01-02,1,3,0,cash,sso,cash,0.9,0.0,0.09999999999999998,0.04222483746703576,2.874284687375252,-0.16969436746152952
2012-02-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.09278101789861504,3.0417858029150247,-0.12130767831413225
2012-03-01,3,3,2,qld,sso,cash,1.8,0.0,-0.8,0.07584180035735555,3.3190115642118685,-0.04122441025771251
2012-04-02,3,3,1,qld,sso,cash,1.8,0.0,-0.8,-0.01907151800178497,3.578209140922279,0.0
2012-05-01,3,3,1,qld,sso,cash,1.8,0.0,-0.8,-0.11575399800459663,3.480216862030928,-0.027385844435603223
2012-06-01,2,2,0,qqq_partial,ivv_partial,cash,0.63,0.0,0.37,0.02482071450991752,3.0046226857630973,-0.16029986861286158
2012-07-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.019255474943778772,3.1481111153966936,-0.12019924173988557
2012-08-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.06755366199011958,3.175581203711289,-0.112522192346536
2012-09-03,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.034216558279800635,3.40640711720879,-0.0480134103254812
2012-10-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.0683179323249582,3.5263646146142764,-0.03280341411968494
2012-11-01,2,3,3,qqq_partial,sso,iau,1.215,0.1,-0.31500000000000006,0.007970002618690186,3.332041243088789,-0.08610161837153367
2012-12-03,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.008379424227408339,3.2920441758278485,-0.09707184724114204
