"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/1988","101.77","101.77","101.77","101.77","","0.26%"
"07/27/1988","101.11","101.11","101.11","101.11","","-0.65%"
"07/28/1988","102.23","102.23","102.23","102.23","","1.11%"
"07/29/1988","103.42","103.42","103.42","103.42","","1.16%"
"08/01/1988","103.67","103.67","103.67","103.67","","0.24%"
"08/02/1988","103.74","103.74","103.74","103.74","","0.07%"
"08/03/1988","104.00","104.00","104.00","104.00","","0.25%"
"08/04/1988","103.91","103.91","103.91","103.91","","-0.09%"
"08/05/1988","103.79","103.79","103.79","103.79","","-0.12%"
"08/08/1988","103.68","103.68","103.68","103.68","","-0.11%"
"08/09/1988","102.97","102.97","102.97","102.97","","-0.68%"
"08/10/1988","101.69","101.69","101.69","101.69","","-1.24%"
"08/11/1988","102.18","102.18","102.18","102.18","","0.48%"
"08/12/1988","101.98","101.98","101.98","101.98","","-0.20%"
"08/15/1988","100.94","100.94","100.94","100.94","","-1.02%"
"08/16/1988","101.78","101.78","101.78","101.78","","0.83%"
"08/17/1988","101.68","101.68","101.68","101.68","","-0.10%"
"08/18/1988","101.94","101.94","101.94","101.94","","0.26%"
"08/19/1988","101.52","101.52","101.52","101.52","","-0.41%"
"08/22/1988","100.63","100.63","100.63","100.63","","-0.88%"
"08/23/1988","100.90","100.90","100.90","100.90","","0.27%"
"08/24/1988","101.77","101.77","101.77","101.77","","0.86%"
"08/25/1988","101.54","101.54","101.54","101.54","","-0.23%"
"08/26/1988","101.69","101.69","101.69","101.69","","0.15%"
"08/29/1988","102.37","102.37","102.37","102.37","","0.67%"
"08/30/1988","102.54","102.54","102.54","102.54","","0.17%"
"08/31/1988","102.46","102.46","102.46","102.46","","-0.08%"
"09/01/1988","101.74","101.74","101.74","101.74","","-0.70%"
"09/02/1988","103.03","103.03","103.03","103.03","","1.27%"
"09/06/1988","103.34","103.34","103.34","103.34","","0.30%"
"09/07/1988","103.40","103.40","103.40","103.40","","0.06%"
"09/08/1988","103.44","103.44","103.44","103.44","","0.04%"
"09/09/1988","103.63","103.63","103.63","103.63","","0.18%"
"09/12/1988","103.74","103.74","103.74","103.74","","0.11%"
"09/13/1988","103.82","103.82","103.82","103.82","","0.08%"
"09/14/1988","103.94","103.94","103.94","103.94","","0.12%"
"09/15/1988","103.99","103.99","103.99","103.99","","0.05%"
"09/16/1988","103.99","103.99","103.99","103.99","","0.00%"
"09/19/1988","103.96","103.96","103.96","103.96","","-0.03%"
"09/20/1988","104.23","104.23","104.23","104.23","","0.26%"
"09/21/1988","104.37","104.37","104.37","104.37","","0.13%"
"09/22/1988","104.22","104.22","104.22","104.22","","-0.14%"
"09/23/1988","104.49","104.49","104.49","104.49","","0.26%"
"09/26/1988","104.40","104.40","104.40","104.40","","-0.09%"
"09/27/1988","104.32","104.32","104.32","104.32","","-0.08%"
"09/28/1988","104.59","104.59","104.59","104.59","","0.26%"
"09/29/1988","105.28","105.28","105.28","105.28","","0.66%"
"09/30/1988","105.19","105.19","105.19","105.19","","-0.09%"
"10/03/1988","105.18","105.18","105.18","105.18","","-0.01%"
"10/04/1988","105.15","105.15","105.15","105.15","","-0.03%"
"10/05/1988","105.33","105.33","105.33","105.33","","0.17%"
"10/06/1988","105.44","105.44","105.44","105.44","","0.10%"
"10/07/1988","106.05","106.05","106.05","106.05","","0.58%"
"10/10/1988","106.19","106.19","106.19","106.19","","0.13%"
"10/11/1988","106.22","106.22","106.22","106.22","","0.03%"
"10/12/1988","105.84","105.84","105.84","105.84","","-0.36%"
"10/13/1988","106.14","106.14","106.14","106.14","","0.28%"
"10/14/1988","106.25","106.25","106.25","106.25","","0.10%"
"10/17/1988","106.45","106.45","106.45","106.45","","0.19%"
"10/18/1988","106.56","106.56","106.56","106.56","","0.10%"
"10/19/1988","106.49","106.49","106.49","106.49","","-0.07%"
"10/20/1988","106.65","106.65","106.65","106.65","","0.15%"
"10/21/1988","106.68","106.68","106.68","106.68","","0.03%"
"10/24/1988","106.62","106.62","106.62","106.62","","-0.06%"
"10/25/1988","106.65","106.65","106.65","106.65","","0.03%"
"10/26/1988","106.47","106.47","106.47","106.47","","-0.17%"
"10/27/1988","105.67","105.67","105.67","105.67","","-0.75%"
"10/28/1988","106.03","106.03","106.03","106.03","","0.34%"
"10/31/1988","106.22","106.22","106.22","106.22","","0.18%"
"11/01/1988","106.36","106.36","106.36","106.36","","0.13%"
"11/02/1988","106.53","106.53","106.53","106.53","","0.16%"
"11/03/1988","106.55","106.55","106.55","106.55","","0.02%"
"11/04/1988","105.94","105.94","105.94","105.94","","-0.57%"
"11/07/1988","105.59","105.59","105.59","105.59","","-0.33%"
"11/08/1988","105.78","105.78","105.78","105.78","","0.18%"
"11/09/1988","105.73","105.73","105.73","105.73","","-0.05%"
"11/10/1988","105.78","105.78","105.78","105.78","","0.05%"
"11/11/1988","103.83","103.83","103.83","103.83","","-1.84%"
"11/14/1988","103.94","103.94","103.94","103.94","","0.11%"
"11/15/1988","104.11","104.11","104.11","104.11","","0.16%"
"11/16/1988","102.12","102.12","102.12","102.12","","-1.91%"
"11/17/1988","102.72","102.72","102.72","102.72","","0.59%"
"11/18/1988","103.41","103.41","103.41","103.41","","0.67%"
"11/21/1988","103.76","103.76","103.76","103.76","","0.34%"
"11/22/1988","104.08","104.08","104.08","104.08","","0.31%"
"11/23/1988","104.34","104.34","104.34","104.34","","0.25%"
"11/25/1988","104.10","104.10","104.10","104.10","","-0.23%"
"11/28/1988","104.52","104.52","104.52","104.52","","0.40%"
"11/29/1988","104.97","104.97","104.97","104.97","","0.43%"
"11/30/1988","105.18","105.18","105.18","105.18","","0.20%"
"12/01/1988","105.17","105.17","105.17","105.17","","-0.01%"
"12/02/1988","105.13","105.13","105.13","105.13","","-0.04%"
"12/05/1988","105.51","105.51","105.51","105.51","","0.36%"
"12/06/1988","105.61","105.61","105.61","105.61","","0.09%"
"12/07/1988","105.62","105.62","105.62","105.62","","0.01%"
"12/08/1988","105.66","105.66","105.66","105.66","","0.04%"
"12/09/1988","105.68","105.68","105.68","105.68","","0.02%"
"12/12/1988","105.79","105.79","105.79","105.79","","0.10%"
"12/13/1988","105.81","105.81","105.81","105.81","","0.02%"
"12/14/1988","105.88","105.88","105.88","105.88","","0.07%"
"12/15/1988","105.92","105.92","105.92","105.92","","0.04%"
"12/16/1988","105.92","105.92","105.92","105.92","","0.00%"
"12/19/1988","106.57","106.57","106.57","106.57","","0.61%"
"12/20/1988","106.36","106.36","106.36","106.36","","-0.20%"
"12/21/1988","106.43","106.43","106.43","106.43","","0.07%"
"12/22/1988","106.45","106.45","106.45","106.45","","0.02%"
"12/23/1988","106.57","106.57","106.57","106.57","","0.11%"
"12/27/1988","106.58","106.58","106.58","106.58","","0.01%"
"12/28/1988","106.70","106.70","106.70","106.70","","0.11%"
"12/29/1988","106.97","106.97","106.97","106.97","","0.25%"
"12/30/1988","106.90","106.90","106.90","106.90","","-0.07%"
"01/03/1989","106.62","106.62","106.62","106.62","","-0.26%"
"01/04/1989","107.32","107.32","107.32","107.32","","0.66%"
"01/05/1989","107.41","107.41","107.41","107.41","","0.08%"
"01/06/1989","107.56","107.56","107.56","107.56","","0.14%"
"01/09/1989","107.70","107.70","107.70","107.70","","0.13%"
"01/10/1989","107.73","107.73","107.73","107.73","","0.03%"
"01/11/1989","107.85","107.85","107.85","107.85","","0.11%"
"01/12/1989","107.97","107.97","107.97","107.97","","0.11%"
"01/13/1989","108.04","108.04","108.04","108.04","","0.06%"
"01/16/1989","108.14","108.14","108.14","108.14","","0.09%"
"01/17/1989","108.16","108.16","108.16","108.16","","0.02%"
"01/18/1989","108.23","108.23","108.23","108.23","","0.06%"
"01/19/1989","108.25","108.25","108.25","108.25","","0.02%"
"01/20/1989","108.26","108.26","108.26","108.26","","0.01%"
"01/23/1989","108.02","108.02","108.02","108.02","","-0.22%"
"01/24/1989","108.67","108.67","108.67","108.67","","0.60%"
"01/25/1989","108.81","108.81","108.81","108.81","","0.13%"
"01/26/1989","109.05","109.05","109.05","109.05","","0.22%"
"01/27/1989","109.17","109.17","109.17","109.17","","0.11%"
"01/30/1989","109.41","109.41","109.41","109.41","","0.22%"
"01/31/1989","109.64","109.64","109.64","109.64","","0.21%"
"02/01/1989","109.66","109.66","109.66","109.66","","0.02%"
"02/02/1989","109.69","109.69","109.69","109.69","","0.03%"
"02/03/1989","109.76","109.76","109.76","109.76","","0.06%"
"02/06/1989","109.81","109.81","109.81","109.81","","0.05%"
"02/07/1989","109.95","109.95","109.95","109.95","","0.13%"
"02/08/1989","109.95","109.95","109.95","109.95","","0.00%"
"02/09/1989","109.96","109.96","109.96","109.96","","0.01%"
"02/10/1989","109.84","109.84","109.84","109.84","","-0.11%"
"02/13/1989","110.05","110.05","110.05","110.05","","0.19%"
"02/14/1989","110.08","110.08","110.08","110.08","","0.03%"
"02/15/1989","110.22","110.22","110.22","110.22","","0.13%"
"02/16/1989","110.24","110.24","110.24","110.24","","0.02%"
"02/17/1989","110.18","110.18","110.18","110.18","","-0.05%"
"02/21/1989","110.15","110.15","110.15","110.15","","-0.03%"
"02/22/1989","109.29","109.29","109.29","109.29","","-0.78%"
"02/23/1989","109.51","109.51","109.51","109.51","","0.20%"
"02/24/1989","108.25","108.25","108.25","108.25","","-1.15%"
"02/27/1989","108.76","108.76","108.76","108.76","","0.47%"
"02/28/1989","109.05","109.05","109.05","109.05","","0.27%"
"03/01/1989","108.67","108.67","108.67","108.67","","-0.35%"
"03/02/1989","109.58","109.58","109.58","109.58","","0.84%"
"03/03/1989","109.96","109.96","109.96","109.96","","0.35%"
"03/06/1989","110.78","110.78","110.78","110.78","","0.75%"
"03/07/1989","110.76","110.76","110.76","110.76","","-0.02%"
"03/08/1989","110.90","110.90","110.90","110.90","","0.13%"
"03/09/1989","110.88","110.88","110.88","110.88","","-0.02%"
"03/10/1989","110.79","110.79","110.79","110.79","","-0.08%"
"03/13/1989","111.44","111.44","111.44","111.44","","0.59%"
"03/14/1989","111.41","111.41","111.41","111.41","","-0.03%"
"03/15/1989","111.82","111.82","111.82","111.82","","0.37%"
"03/16/1989","112.07","112.07","112.07","112.07","","0.22%"
"03/17/1989","111.21","111.21","111.21","111.21","","-0.77%"
"03/20/1989","111.12","111.12","111.12","111.12","","-0.08%"
"03/21/1989","111.61","111.61","111.61","111.61","","0.44%"
"03/22/1989","111.52","111.52","111.52","111.52","","-0.08%"
"03/23/1989","111.37","111.37","111.37","111.37","","-0.13%"
"03/27/1989","111.80","111.80","111.80","111.80","","0.39%"
"03/28/1989","112.08","112.08","112.08","112.08","","0.25%"
"03/29/1989","112.25","112.25","112.25","112.25","","0.15%"
"03/30/1989","112.25","112.25","112.25","112.25","","0.00%"
"03/31/1989","112.58","112.58","112.58","112.58","","0.29%"
"04/03/1989","112.85","112.85","112.85","112.85","","0.24%"
"04/04/1989","112.86","112.86","112.86","112.86","","0.01%"
"04/05/1989","113.00","113.00","113.00","113.00","","0.12%"
"04/06/1989","112.90","112.90","112.90","112.90","","-0.09%"
"04/07/1989","113.13","113.13","113.13","113.13","","0.20%"
"04/10/1989","113.22","113.22","113.22","113.22","","0.08%"
"04/11/1989","113.35","113.35","113.35","113.35","","0.11%"
"04/12/1989","113.40","113.40","113.40","113.40","","0.04%"
"04/13/1989","113.25","113.25","113.25","113.25","","-0.13%"
"04/14/1989","113.60","113.60","113.60","113.60","","0.31%"
"04/17/1989","113.70","113.70","113.70","113.70","","0.09%"
"04/18/1989","113.76","113.76","113.76","113.76","","0.05%"
"04/19/1989","113.78","113.78","113.78","113.78","","0.02%"
"04/20/1989","113.81","113.81","113.81","113.81","","0.03%"
"04/21/1989","113.81","113.81","113.81","113.81","","0.00%"
"04/24/1989","113.92","113.92","113.92","113.92","","0.10%"
"04/25/1989","113.72","113.72","113.72","113.72","","-0.18%"
"04/26/1989","113.77","113.77","113.77","113.77","","0.04%"
"04/27/1989","114.07","114.07","114.07","114.07","","0.26%"
"04/28/1989","114.12","114.12","114.12","114.12","","0.04%"
"05/01/1989","114.24","114.24","114.24","114.24","","0.11%"
"05/02/1989","114.21","114.21","114.21","114.21","","-0.03%"
"05/03/1989","114.27","114.27","114.27","114.27","","0.05%"
"05/04/1989","114.29","114.29","114.29","114.29","","0.02%"
"05/05/1989","114.39","114.39","114.39","114.39","","0.09%"
"05/08/1989","114.39","114.39","114.39","114.39","","0.00%"
"05/09/1989","114.29","114.29","114.29","114.29","","-0.09%"
"05/10/1989","114.41","114.41","114.41","114.41","","0.10%"
"05/11/1989","114.62","114.62","114.62","114.62","","0.18%"
"05/12/1989","115.23","115.23","115.23","115.23","","0.53%"
"05/15/1989","115.35","115.35","115.35","115.35","","0.10%"
"05/16/1989","115.40","115.40","115.40","115.40","","0.04%"
"05/17/1989","115.45","115.45","115.45","115.45","","0.04%"
"05/18/1989","115.50","115.50","115.50","115.50","","0.04%"
"05/19/1989","115.49","115.49","115.49","115.49","","-0.01%"
"05/22/1989","115.74","115.74","115.74","115.74","","0.22%"
"05/23/1989","115.35","115.35","115.35","115.35","","-0.34%"
"05/24/1989","115.59","115.59","115.59","115.59","","0.21%"
"05/25/1989","115.68","115.68","115.68","115.68","","0.08%"
"05/26/1989","116.10","116.10","116.10","116.10","","0.36%"
"05/30/1989","115.89","115.89","115.89","115.89","","-0.18%"
"05/31/1989","116.15","116.15","116.15","116.15","","0.22%"
"06/01/1989","116.47","116.47","116.47","116.47","","0.28%"
"06/02/1989","116.94","116.94","116.94","116.94","","0.40%"
"06/05/1989","116.65","116.65","116.65","116.65","","-0.25%"
"06/06/1989","117.00","117.00","117.00","117.00","","0.30%"
"06/07/1989","117.27","117.27","117.27","117.27","","0.23%"
"06/08/1989","117.25","117.25","117.25","117.25","","-0.02%"
"06/09/1989","117.31","117.31","117.31","117.31","","0.05%"
"06/12/1989","117.45","117.45","117.45","117.45","","0.12%"
"06/13/1989","117.42","117.42","117.42","117.42","","-0.03%"
"06/14/1989","117.46","117.46","117.46","117.46","","0.03%"
"06/15/1989","117.25","117.25","117.25","117.25","","-0.18%"
"06/16/1989","117.74","117.74","117.74","117.74","","0.42%"
"06/19/1989","118.05","118.05","118.05","118.05","","0.26%"
"06/20/1989","118.11","118.11","118.11","118.11","","0.05%"
"06/21/1989","118.02","118.02","118.02","118.02","","-0.08%"
"06/22/1989","118.33","118.33","118.33","118.33","","0.26%"
"06/23/1989","118.89","118.89","118.89","118.89","","0.47%"
"06/26/1989","118.92","118.92","118.92","118.92","","0.03%"
"06/27/1989","119.10","119.10","119.10","119.10","","0.15%"
"06/28/1989","118.92","118.92","118.92","118.92","","-0.15%"
"06/29/1989","118.10","118.10","118.10","118.10","","-0.69%"
"06/30/1989","117.78","117.78","117.78","117.78","","-0.27%"
"07/03/1989","118.16","118.16","118.16","118.16","","0.32%"
"07/05/1989","118.55","118.55","118.55","118.55","","0.33%"
"07/06/1989","118.67","118.67","118.67","118.67","","0.10%"
"07/07/1989","119.27","119.27","119.27","119.27","","0.51%"
"07/10/1989","119.53","119.53","119.53","119.53","","0.22%"
"07/11/1989","119.63","119.63","119.63","119.63","","0.08%"
"07/12/1989","119.71","119.71","119.71","119.71","","0.07%"
"07/13/1989","119.72","119.72","119.72","119.72","","0.01%"
"07/14/1989","119.85","119.85","119.85","119.85","","0.11%"
"07/17/1989","120.01","120.01","120.01","120.01","","0.13%"
"07/18/1989","120.02","120.02","120.02","120.02","","0.01%"
"07/19/1989","120.10","120.10","120.10","120.10","","0.07%"
"07/20/1989","120.13","120.13","120.13","120.13","","0.02%"
"07/21/1989","120.10","120.10","120.10","120.10","","-0.02%"
"07/24/1989","120.05","120.05","120.05","120.05","","-0.04%"
"07/25/1989","120.06","120.06","120.06","120.06","","0.01%"
"07/26/1989","120.77","120.77","120.77","120.77","","0.59%"
"07/27/1989","121.11","121.11","121.11","121.11","","0.28%"
"07/28/1989","121.24","121.24","121.24","121.24","","0.11%"
"07/31/1989","121.59","121.59","121.59","121.59","","0.29%"
"08/01/1989","121.38","121.38","121.38","121.38","","-0.17%"
"08/02/1989","121.50","121.50","121.50","121.50","","0.10%"
"08/03/1989","121.63","121.63","121.63","121.63","","0.11%"
"08/04/1989","121.69","121.69","121.69","121.69","","0.05%"
"08/07/1989","122.05","122.05","122.05","122.05","","0.30%"
"08/08/1989","122.13","122.13","122.13","122.13","","0.07%"
"08/09/1989","122.08","122.08","122.08","122.08","","-0.04%"
"08/10/1989","122.15","122.15","122.15","122.15","","0.06%"
"08/11/1989","122.06","122.06","122.06","122.06","","-0.07%"
"08/14/1989","122.21","122.21","122.21","122.21","","0.12%"
"08/15/1989","122.40","122.40","122.40","122.40","","0.16%"
"08/16/1989","122.46","122.46","122.46","122.46","","0.05%"
"08/17/1989","122.51","122.51","122.51","122.51","","0.04%"
"08/18/1989","122.51","122.51","122.51","122.51","","0.00%"
"08/21/1989","121.73","121.73","121.73","121.73","","-0.64%"
"08/22/1989","122.07","122.07","122.07","122.07","","0.28%"
"08/23/1989","122.80","122.80","122.80","122.80","","0.60%"
"08/24/1989","123.51","123.51","123.51","123.51","","0.58%"
"08/25/1989","123.48","123.48","123.48","123.48","","-0.02%"
"08/28/1989","123.71","123.71","123.71","123.71","","0.19%"
"08/29/1989","123.53","123.53","123.53","123.53","","-0.15%"
"08/30/1989","123.76","123.76","123.76","123.76","","0.19%"
"08/31/1989","123.79","123.79","123.79","123.79","","0.02%"
"09/01/1989","124.12","124.12","124.12","124.12","","0.27%"
"09/05/1989","124.27","124.27","124.27","124.27","","0.12%"
"09/06/1989","124.02","124.02","124.02","124.02","","-0.20%"
"09/07/1989","124.11","124.11","124.11","124.11","","0.07%"
"09/08/1989","124.26","124.26","124.26","124.26","","0.12%"
"09/11/1989","124.36","124.36","124.36","124.36","","0.08%"
"09/12/1989","124.58","124.58","124.58","124.58","","0.18%"
"09/13/1989","124.24","124.24","124.24","124.24","","-0.27%"
"09/14/1989","124.14","124.14","124.14","124.14","","-0.08%"
"09/15/1989","124.88","124.88","124.88","124.88","","0.60%"
"09/18/1989","125.40","125.40","125.40","125.40","","0.42%"
"09/19/1989","125.45","125.45","125.45","125.45","","0.04%"
"09/20/1989","125.48","125.48","125.48","125.48","","0.02%"
"09/21/1989","125.44","125.44","125.44","125.44","","-0.03%"
"09/22/1989","125.70","125.70","125.70","125.70","","0.21%"
"09/25/1989","125.41","125.41","125.41","125.41","","-0.23%"
"09/26/1989","125.60","125.60","125.60","125.60","","0.15%"
"09/27/1989","125.79","125.79","125.79","125.79","","0.15%"
"09/28/1989","126.23","126.23","126.23","126.23","","0.35%"
"09/29/1989","126.28","126.28","126.28","126.28","","0.04%"
"10/02/1989","126.70","126.70","126.70","126.70","","0.33%"
"10/03/1989","126.95","126.95","126.95","126.95","","0.20%"
"10/04/1989","127.03","127.03","127.03","127.03","","0.06%"
"10/05/1989","127.08","127.08","127.08","127.08","","0.04%"
"10/06/1989","127.18","127.18","127.18","127.18","","0.08%"
"10/09/1989","127.35","127.35","127.35","127.35","","0.13%"
"10/10/1989","127.35","127.35","127.35","127.35","","0.00%"
"10/11/1989","127.33","127.33","127.33","127.33","","-0.02%"
"10/12/1989","127.37","127.37","127.37","127.37","","0.03%"
"10/13/1989","120.90","120.90","120.90","120.90","","-5.08%"
"10/16/1989","125.43","125.43","125.43","125.43","","3.75%"
"10/17/1989","125.55","125.55","125.55","125.55","","0.10%"
"10/18/1989","126.08","126.08","126.08","126.08","","0.42%"
"10/19/1989","127.22","127.22","127.22","127.22","","0.90%"
"10/20/1989","127.66","127.66","127.66","127.66","","0.35%"
"10/23/1989","127.58","127.58","127.58","127.58","","-0.06%"
"10/24/1989","127.16","127.16","127.16","127.16","","-0.33%"
"10/25/1989","126.91","126.91","126.91","126.91","","-0.20%"
"10/26/1989","125.94","125.94","125.94","125.94","","-0.76%"
"10/27/1989","125.26","125.26","125.26","125.26","","-0.54%"
"10/30/1989","125.72","125.72","125.72","125.72","","0.37%"
"10/31/1989","127.39","127.39","127.39","127.39","","1.33%"
"11/01/1989","127.82","127.82","127.82","127.82","","0.34%"
"11/02/1989","127.00","127.00","127.00","127.00","","-0.64%"
"11/03/1989","127.07","127.07","127.07","127.07","","0.06%"
"11/06/1989","125.45","125.45","125.45","125.45","","-1.27%"
"11/07/1989","126.33","126.33","126.33","126.33","","0.70%"
"11/08/1989","127.40","127.40","127.40","127.40","","0.85%"
"11/09/1989","127.03","127.03","127.03","127.03","","-0.29%"
"11/10/1989","128.08","128.08","128.08","128.08","","0.83%"
"11/13/1989","128.59","128.59","128.59","128.59","","0.40%"
"11/14/1989","127.86","127.86","127.86","127.86","","-0.57%"
"11/15/1989","128.74","128.74","128.74","128.74","","0.69%"
"11/16/1989","128.80","128.80","128.80","128.80","","0.05%"
"11/17/1989","129.39","129.39","129.39","129.39","","0.46%"
"11/20/1989","129.18","129.18","129.18","129.18","","-0.16%"
"11/21/1989","129.30","129.30","129.30","129.30","","0.09%"
"11/22/1989","129.74","129.74","129.74","129.74","","0.34%"
"11/24/1989","130.14","130.14","130.14","130.14","","0.31%"
"11/27/1989","130.52","130.52","130.52","130.52","","0.29%"
"11/28/1989","130.50","130.50","130.50","130.50","","-0.02%"
"11/29/1989","130.28","130.28","130.28","130.28","","-0.17%"
"11/30/1989","130.66","130.66","130.66","130.66","","0.29%"
"12/01/1989","131.08","131.08","131.08","131.08","","0.32%"
"12/04/1989","131.27","131.27","131.27","131.27","","0.14%"
"12/05/1989","131.25","131.25","131.25","131.25","","-0.02%"
"12/06/1989","131.33","131.33","131.33","131.33","","0.06%"
"12/07/1989","131.31","131.31","131.31","131.31","","-0.02%"
"12/08/1989","131.52","131.52","131.52","131.52","","0.16%"
"12/11/1989","131.67","131.67","131.67","131.67","","0.11%"
"12/12/1989","131.73","131.73","131.73","131.73","","0.05%"
"12/13/1989","131.81","131.81","131.81","131.81","","0.06%"
"12/14/1989","131.84","131.84","131.84","131.84","","0.02%"
"12/15/1989","131.93","131.93","131.93","131.93","","0.07%"
"12/18/1989","130.69","130.69","130.69","130.69","","-0.94%"
"12/19/1989","130.52","130.52","130.52","130.52","","-0.13%"
"12/20/1989","130.74","130.74","130.74","130.74","","0.17%"
"12/21/1989","131.13","131.13","131.13","131.13","","0.30%"
"12/22/1989","131.98","131.98","131.98","131.98","","0.65%"
"12/26/1989","132.03","132.03","132.03","132.03","","0.04%"
"12/27/1989","132.56","132.56","132.56","132.56","","0.40%"
"12/28/1989","132.93","132.93","132.93","132.93","","0.28%"
"12/29/1989","133.17","133.17","133.17","133.17","","0.18%"
"01/02/1990","133.84","133.84","133.84","133.84","","0.50%"
"01/03/1990","133.87","133.87","133.87","133.87","","0.02%"
"01/04/1990","133.72","133.72","133.72","133.72","","-0.11%"
"01/05/1990","133.28","133.28","133.28","133.28","","-0.33%"
"01/08/1990","133.76","133.76","133.76","133.76","","0.36%"
"01/09/1990","133.13","133.13","133.13","133.13","","-0.47%"
"01/10/1990","132.72","132.72","132.72","132.72","","-0.31%"
"01/11/1990","133.31","133.31","133.31","133.31","","0.44%"
"01/12/1990","130.08","130.08","130.08","130.08","","-2.42%"
"01/15/1990","129.76","129.76","129.76","129.76","","-0.25%"
"01/16/1990","131.14","131.14","131.14","131.14","","1.06%"
"01/17/1990","129.62","129.62","129.62","129.62","","-1.16%"
"01/18/1990","130.67","130.67","130.67","130.67","","0.81%"
"01/19/1990","130.73","130.73","130.73","130.73","","0.05%"
"01/22/1990","128.50","128.50","128.50","128.50","","-1.71%"
"01/23/1990","129.52","129.52","129.52","129.52","","0.79%"
"01/24/1990","129.45","129.45","129.45","129.45","","-0.05%"
"01/25/1990","128.04","128.04","128.04","128.04","","-1.09%"
"01/26/1990","128.01","128.01","128.01","128.01","","-0.02%"
"01/29/1990","128.20","128.20","128.20","128.20","","0.15%"
"01/30/1990","127.73","127.73","127.73","127.73","","-0.37%"
"01/31/1990","129.45","129.45","129.45","129.45","","1.35%"
"02/01/1990","129.65","129.65","129.65","129.65","","0.15%"
"02/02/1990","130.11","130.11","130.11","130.11","","0.35%"
"02/05/1990","130.69","130.69","130.69","130.69","","0.45%"
"02/06/1990","130.22","130.22","130.22","130.22","","-0.36%"
"02/07/1990","131.47","131.47","131.47","131.47","","0.96%"
"02/08/1990","131.60","131.60","131.60","131.60","","0.10%"
"02/09/1990","131.77","131.77","131.77","131.77","","0.13%"
"02/12/1990","130.79","130.79","130.79","130.79","","-0.74%"
"02/13/1990","131.34","131.34","131.34","131.34","","0.42%"
"02/14/1990","131.62","131.62","131.62","131.62","","0.21%"
"02/15/1990","132.90","132.90","132.90","132.90","","0.97%"
"02/16/1990","132.43","132.43","132.43","132.43","","-0.35%"
"02/20/1990","131.60","131.60","131.60","131.60","","-0.63%"
"02/21/1990","131.73","131.73","131.73","131.73","","0.10%"
"02/22/1990","131.43","131.43","131.43","131.43","","-0.23%"
"02/23/1990","131.07","131.07","131.07","131.07","","-0.27%"
"02/26/1990","132.52","132.52","132.52","132.52","","1.11%"
"02/27/1990","132.81","132.81","132.81","132.81","","0.22%"
"02/28/1990","133.19","133.19","133.19","133.19","","0.29%"
"03/01/1990","133.35","133.35","133.35","133.35","","0.12%"
"03/02/1990","133.82","133.82","133.82","133.82","","0.35%"
"03/05/1990","133.97","133.97","133.97","133.97","","0.11%"
"03/06/1990","134.50","134.50","134.50","134.50","","0.40%"
