date,signal,similar_avg_fwd,dissimilar_avg_fwd,spread,spy_fwd_1m,n_similar,n_dissimilar,min_distance,closest_date,anti_signal,anti_ret,spread_ret
1986-10-01,1,0.014078744988248158,-0.007808644835090753,0.02188738982333891,0.03000784258122824,25,25,1.6064478976988628,1983-05-01,1,0.03000784258122824,0.02188738982333891
1986-11-01,1,0.015424813875154585,-0.011228225512784257,0.026653039387938844,0.009050166298508522,26,26,1.7235743661527627,1983-05-01,1,0.009050166298508522,0.026653039387938844
1986-12-01,1,0.0103588391703769,-0.006446268952328886,0.016805108122705786,0.06370878582127082,26,26,1.5790666669653397,1983-05-01,1,0.06370878582127082,0.016805108122705786
1987-01-01,1,0.013025074471883832,-0.0007642073993983345,0.013789281871282167,0.0599505166098,26,26,1.14212991649746,1983-07-01,1,0.0599505166098,0.013789281871282167
1987-02-01,1,0.014383111379691785,0.005822960604051041,0.008560150775640745,0.03868622614565753,26,26,1.3418659912879036,1983-07-01,-1,-0.03868622614565753,0.008560150775640745
1987-03-01,1,0.009551447558938088,-0.004126843354634471,0.013678290913572559,-0.015363370840780766,26,26,1.50243616436395,1983-03-01,1,-0.015363370840780766,0.013678290913572559
1987-04-01,1,0.013650676624549262,0.009493286521779195,0.004157390102770067,-0.005331249799739202,26,26,1.4254737435874931,1980-09-01,-1,0.005331249799739202,0.004157390102770067
1987-05-01,1,0.0162955785329403,0.005831068238158565,0.010464510294781737,0.04034054584471125,26,26,1.633961096863399,1980-09-01,-1,-0.04034054584471125,0.010464510294781737
1987-06-01,1,0.010351415935483544,0.005430478520260684,0.00492093741522286,0.02774702846516286,27,27,1.2704744773581955,1976-02-01,-1,-0.02774702846516286,0.00492093741522286
1987-07-01,1,0.008221232088243999,0.004546407007019298,0.003674825081224701,0.0568024065614956,27,27,2.1066160927331,1976-09-01,-1,-0.0568024065614956,0.003674825081224701
