date,state,label,confidence,direction,spy_1m,spy_3m
2013-12-01,2,transition,1.0,neutral,0.016150058806507994,0.011372388729644856
2014-01-01,2,transition,1.0,neutral,-0.031404111180920125,-0.0001626391854248066
2014-02-01,0,transition,1.0,neutral,0.03743403290574032,0.04922893249068627
2014-03-01,3,exhaustion_top,1.0,bearish,-0.0027035066932210583,0.019348677742203835
2014-04-01,0,transition,1.0,neutral,-0.010411794324192147,0.028100558392801567
2014-05-01,1,strong_bull,1.0,bullish,0.0107256569356875,0.04896791757124652
2014-06-01,2,transition,1.0,neutral,0.019914621945512634,0.01605582663628735
2014-07-01,0,transition,1.0,neutral,0.0035024241302039627,0.016597167376459998
2014-08-01,2,transition,1.0,neutral,0.04067492990148591,-0.021890906812440325
2014-09-01,1,strong_bull,1.0,bullish,-0.017200486211984112,0.022093766353941557
2014-10-01,1,strong_bull,1.0,bullish,0.010702024800404164,0.03365067786481135
2014-11-01,3,exhaustion_top,1.0,bearish,0.02965383842240632,0.0015302314419931573
2014-12-01,1,strong_bull,1.0,bullish,0.018616370866575416,0.02096178580008301
2015-01-01,1,strong_bull,1.0,bullish,-0.0004377299359585862,0.0014107220975179136
2015-02-01,1,strong_bull,1.0,bullish,0.06106814941561289,0.055027091134315365
2015-03-01,1,strong_bull,1.0,bullish,-0.01890011160519056,0.0014122079984886238
2015-04-01,2,transition,1.0,neutral,0.02892560693738,0.020952663597294086
2015-05-01,3,exhaustion_top,1.0,bearish,0.009396677978708023,0.004673616387394164
2015-06-01,3,exhaustion_top,1.0,bearish,-0.003258074285446222,-0.008957493393118132
2015-07-01,3,exhaustion_top,1.0,bearish,0.0024094405590098233,-0.051855756608146786
2015-08-01,1,strong_bull,1.0,bullish,-0.07619951412217918,-0.04833239010296675
2015-09-01,2,transition,1.0,neutral,0.01085961264148283,0.07370758729797622
2015-10-01,1,strong_bull,1.0,bullish,0.07739563684840722,0.0507469404591363
2015-11-01,2,transition,1.0,neutral,0.0066848767110128104,-0.08645308075084768
2015-12-01,0,transition,1.0,neutral,-0.017922185658803547,-0.1268828302568572
